video-file,kind,engine,identity-source,identity-target,recording-source,recording-target,audio-config,gen-config,gesture-type,script-type
latentsync-14328-14306-speechify.mp4,lip-sync,latentsync,307,307,14328,14306,speechify,,no-gesture,scripted-short
memo-14334-14320-playht.mp4,avatar,memo,307,307,14334,14320,playht,,no-gesture,scripted-short
memo-14323-14333-speechify.mp4,avatar,memo,307,307,14323,14333,speechify,,no-gesture,scripted-short
hellomeme-14313-14319-real.mp4,avatar,hellomeme,307,307,14313,14319,real,,no-gesture,scripted-long
hellomeme-14327-14304-speechify.mp4,avatar,hellomeme,307,307,14327,14304,real,,no-gesture,unscripted
hellomeme-14334-14322-speechify.mp4,avatar,hellomeme,307,307,14334,14322,real,,no-gesture,scripted-short
facefusion-14544-14326.mp4,face-swap,facefusion,263,307,14544,14326,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
facefusion-14550-14331.mp4,face-swap,facefusion,263,307,14550,14331,real,simswap_256_768768,no-gesture,scripted-short
facefusion-14559-14319.mp4,face-swap,facefusion,263,307,14559,14319,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-long
facefusion-14560-14310.mp4,face-swap,facefusion,263,307,14560,14310,real,simswap_256_768768,no-gesture,scripted-short
diff2lip-11012-11006-elevenlabs.mp4,lip-sync,diff2lip,453,453,11012,11006,elevenlabs,,no-gesture,scripted-short
diff2lip-11019-11028-playht.mp4,lip-sync,diff2lip,453,453,11019,11028,playht,,no-gesture,unscripted
latentsync-11039-11037-real.mp4,lip-sync,latentsync,453,453,11039,11037,real,,no-gesture,scripted-short
memo-11012-11035-real.mp4,avatar,memo,453,453,11012,11035,real,,no-gesture,scripted-short
memo-11039-11024-elevenlabs.mp4,avatar,memo,453,453,11039,11024,elevenlabs,,no-gesture,scripted-short
memo-11022-11028-real.mp4,avatar,memo,453,453,11022,11028,real,,no-gesture,unscripted
hellomeme-11019-11028-playht.mp4,avatar,hellomeme,453,453,11019,11028,real,,no-gesture,unscripted
hellomeme-11012-11017-real.mp4,avatar,hellomeme,453,453,11012,11017,real,,no-gesture,scripted-short
hellomeme-11014-11018-real.mp4,avatar,hellomeme,453,453,11014,11018,real,,no-gesture,scripted-short
facefusion-10119-11006.mp4,face-swap,facefusion,363,453,10119,11006,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
facefusion-10098-11034.mp4,face-swap,facefusion,363,453,10098,11034,real,simswap_256_768768,no-gesture,scripted-short
facefusion-10112-11007.mp4,face-swap,facefusion,363,453,10112,11007,real,inswapper_128_fp16_768768,no-gesture,scripted-long
diff2lip-7870-7893-speechify.mp4,lip-sync,diff2lip,234,234,7870,7893,speechify,,no-gesture,scripted-short
diff2lip-7876-7883-playht.mp4,lip-sync,diff2lip,234,234,7876,7883,playht,,no-gesture,unscripted
diff2lip-7866-7874-elevenlabs.mp4,lip-sync,diff2lip,234,234,7866,7874,elevenlabs,,no-gesture,scripted-short
latentsync-7876-7883-speechify.mp4,lip-sync,latentsync,234,234,7876,7883,speechify,,no-gesture,unscripted
latentsync-7886-7881-playht.mp4,lip-sync,latentsync,234,234,7886,7881,playht,,no-gesture,scripted-short
latentsync-7894-7889-elevenlabs.mp4,lip-sync,latentsync,234,234,7894,7889,elevenlabs,,no-gesture,scripted-short
memo-7882-7868-real.mp4,avatar,memo,234,234,7882,7868,real,,no-gesture,scripted-long
memo-7871-7873-elevenlabs.mp4,avatar,memo,234,234,7871,7873,elevenlabs,,no-gesture,scripted-short
memo-7878-7880-playht.mp4,avatar,memo,234,234,7878,7880,playht,,no-gesture,scripted-short
hellomeme-7891-7874-elevenlabs.mp4,avatar,hellomeme,234,234,7891,7874,real,,no-gesture,scripted-short
hellomeme-7867-7864-elevenlabs.mp4,avatar,hellomeme,234,234,7867,7864,real,,no-gesture,unscripted
facefusion-15141-7881.mp4,face-swap,facefusion,264,234,15141,7881,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-short
facefusion-15122-7876.mp4,face-swap,facefusion,264,234,15122,7876,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,unscripted
facefusion-15132-7868.mp4,face-swap,facefusion,264,234,15132,7868,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-long
diff2lip-8539-8520-playht.mp4,lip-sync,diff2lip,411,411,8539,8520,playht,,no-gesture,scripted-short
diff2lip-8524-8531-elevenlabs.mp4,lip-sync,diff2lip,411,411,8524,8531,elevenlabs,,no-gesture,unscripted
diff2lip-8532-8516-real.mp4,lip-sync,diff2lip,411,411,8532,8516,real,,no-gesture,scripted-short
latentsync-8526-8539-playht.mp4,lip-sync,latentsync,411,411,8526,8539,playht,,no-gesture,scripted-short
latentsync-8513-8522-real.mp4,lip-sync,latentsync,411,411,8513,8522,real,,no-gesture,scripted-long
latentsync-8524-8523-speechify.mp4,lip-sync,latentsync,411,411,8524,8523,speechify,,no-gesture,unscripted
memo-8544-8523-real.mp4,avatar,memo,411,411,8544,8523,real,,no-gesture,unscripted
memo-8529-8520-real.mp4,avatar,memo,411,411,8529,8520,real,,no-gesture,scripted-short
memo-8518-8527-elevenlabs.mp4,avatar,memo,411,411,8518,8527,elevenlabs,,no-gesture,scripted-short
hellomeme-8528-8536-real.mp4,avatar,hellomeme,411,411,8528,8536,real,,no-gesture,scripted-short
hellomeme-8523-8531-elevenlabs.mp4,avatar,hellomeme,411,411,8523,8531,real,,no-gesture,unscripted
facefusion-9247-8525.mp4,face-swap,facefusion,225,411,9247,8525,real,simswap_256_768768,wave,no-speech
facefusion-9227-8531.mp4,face-swap,facefusion,225,411,9227,8531,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
facefusion-9233-8522.mp4,face-swap,facefusion,225,411,9233,8522,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-long
facefusion-9230-8517.mp4,face-swap,facefusion,225,411,9230,8517,real,simswap_256_768768,no-gesture,scripted-short
diff2lip-13323-13318-real.mp4,lip-sync,diff2lip,277,277,13323,13318,real,,no-gesture,scripted-short
latentsync-13324-13333-speechify.mp4,lip-sync,latentsync,277,277,13324,13333,speechify,,no-gesture,scripted-short
latentsync-13304-13335-elevenlabs.mp4,lip-sync,latentsync,277,277,13304,13335,elevenlabs,,no-gesture,scripted-short
memo-13326-13330-speechify.mp4,avatar,memo,277,277,13326,13330,speechify,,no-gesture,unscripted
memo-13331-13329-elevenlabs.mp4,avatar,memo,277,277,13331,13329,elevenlabs,,no-gesture,scripted-short
memo-13307-13317-speechify.mp4,avatar,memo,277,277,13307,13317,speechify,,no-gesture,scripted-short
hellomeme-13311-13304-speechify.mp4,avatar,hellomeme,277,277,13311,13304,real,,no-gesture,scripted-short
hellomeme-13332-13309-real.mp4,avatar,hellomeme,277,277,13332,13309,real,,no-gesture,scripted-long
hellomeme-13307-13324-real.mp4,avatar,hellomeme,277,277,13307,13324,real,,no-gesture,scripted-short
hellomeme-13325-13326-elevenlabs.mp4,avatar,hellomeme,277,277,13325,13326,real,,no-gesture,unscripted
facefusion-11362-13332.mp4,face-swap,facefusion,398,277,11362,13332,real,simswap_256_768768,no-gesture,scripted-long
facefusion-11360-13333.mp4,face-swap,facefusion,398,277,11360,13333,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
facefusion-11368-13325.mp4,face-swap,facefusion,398,277,11368,13325,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
diff2lip-8241-8260-speechify.mp4,lip-sync,diff2lip,490,490,8241,8260,speechify,,no-gesture,unscripted
diff2lip-8261-8267-speechify.mp4,lip-sync,diff2lip,490,490,8261,8267,speechify,,no-gesture,scripted-short
latentsync-8261-8267-real.mp4,lip-sync,latentsync,490,490,8261,8267,real,,no-gesture,scripted-short
memo-8241-8260-playht.mp4,avatar,memo,490,490,8241,8260,playht,,no-gesture,unscripted
memo-8257-8267-real.mp4,avatar,memo,490,490,8257,8267,real,,no-gesture,scripted-short
hellomeme-8249-8260-elevenlabs.mp4,avatar,hellomeme,490,490,8249,8260,real,,no-gesture,unscripted
hellomeme-8266-8270-elevenlabs.mp4,avatar,hellomeme,490,490,8266,8270,real,,no-gesture,scripted-short
facefusion-15548-8269.mp4,face-swap,facefusion,335,490,15548,8269,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-long
facefusion-15552-8253.mp4,face-swap,facefusion,335,490,15552,8253,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
facefusion-15555-8262.mp4,face-swap,facefusion,335,490,15555,8262,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-short
facefusion-15557-8252.mp4,face-swap,facefusion,335,490,15557,8252,real,simswap_256_768768,no-gesture,scripted-short
diff2lip-9704-9714-playht.mp4,lip-sync,diff2lip,381,381,9704,9714,playht,,no-gesture,scripted-short
diff2lip-9688-9694-elevenlabs.mp4,lip-sync,diff2lip,381,381,9688,9694,elevenlabs,,no-gesture,unscripted
latentsync-9688-9694-playht.mp4,lip-sync,latentsync,381,381,9688,9694,playht,,no-gesture,unscripted
latentsync-9690-9689-real.mp4,lip-sync,latentsync,381,381,9690,9689,real,,no-gesture,scripted-short
latentsync-9714-9691-elevenlabs.mp4,lip-sync,latentsync,381,381,9714,9691,elevenlabs,,no-gesture,scripted-short
memo-9690-9713-real.mp4,avatar,memo,381,381,9690,9713,real,,no-gesture,scripted-short
memo-9714-9697-playht.mp4,avatar,memo,381,381,9714,9697,playht,,no-gesture,scripted-short
hellomeme-9717-9704-playht.mp4,avatar,hellomeme,381,381,9717,9704,real,,no-gesture,scripted-short
facefusion-10631-9686.mp4,face-swap,facefusion,328,381,10631,9686,real,simswap_256_768768,no-gesture,scripted-short
facefusion-10621-9701.mp4,face-swap,facefusion,328,381,10621,9701,real,inswapper_128_fp16_768768,no-gesture,scripted-long
facefusion-10610-9706.mp4,face-swap,facefusion,328,381,10610,9706,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
diff2lip-15743-15765-real.mp4,lip-sync,diff2lip,262,262,15743,15765,real,,no-gesture,unscripted
diff2lip-15749-15760-real.mp4,lip-sync,diff2lip,262,262,15749,15760,real,,no-gesture,scripted-short
latentsync-15771-15743-speechify.mp4,lip-sync,latentsync,262,262,15771,15743,speechify,,no-gesture,unscripted
latentsync-15747-15759-real.mp4,lip-sync,latentsync,262,262,15747,15759,real,,no-gesture,scripted-short
memo-15771-15743-playht.mp4,avatar,memo,262,262,15771,15743,playht,,no-gesture,unscripted
memo-15770-15746-speechify.mp4,avatar,memo,262,262,15770,15746,speechify,,no-gesture,scripted-short
memo-15760-15751-playht.mp4,avatar,memo,262,262,15760,15751,playht,,no-gesture,scripted-short
hellomeme-15761-15764-real.mp4,avatar,hellomeme,262,262,15761,15764,real,,no-gesture,scripted-short
facefusion-15676-15754.mp4,face-swap,facefusion,280,262,15676,15754,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-long
facefusion-15678-15768.mp4,face-swap,facefusion,280,262,15678,15768,real,inswapper_128_fp16_768768,no-gesture,scripted-short
facefusion-15693-15764.mp4,face-swap,facefusion,280,262,15693,15764,real,simswap_256_768768,no-gesture,scripted-short
diff2lip-12746-12750-real.mp4,lip-sync,diff2lip,350,350,12746,12750,real,,wave,no-speech
diff2lip-12760-12770-playht.mp4,lip-sync,diff2lip,350,350,12760,12770,playht,,no-gesture,scripted-short
diff2lip-12757-12744-real.mp4,lip-sync,diff2lip,350,350,12757,12744,real,,no-gesture,unscripted
latentsync-12749-12765-speechify.mp4,lip-sync,latentsync,350,350,12749,12765,speechify,,no-gesture,scripted-short
latentsync-12756-12759-real.mp4,lip-sync,latentsync,350,350,12756,12759,real,,no-gesture,scripted-short
memo-12753-12747-playht.mp4,avatar,memo,350,350,12753,12747,playht,,no-gesture,scripted-short
memo-12751-12744-playht.mp4,avatar,memo,350,350,12751,12744,playht,,no-gesture,unscripted
hellomeme-12771-12776-speechify.mp4,avatar,hellomeme,350,350,12771,12776,real,,no-gesture,scripted-short
hellomeme-12751-12757-speechify.mp4,avatar,hellomeme,350,350,12751,12757,real,,no-gesture,unscripted
facefusion-13957-12769.mp4,face-swap,facefusion,321,350,13957,12769,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-short
facefusion-13940-12744.mp4,face-swap,facefusion,321,350,13940,12744,real,inswapper_128_fp16_768768,no-gesture,unscripted
facefusion-13950-12761.mp4,face-swap,facefusion,321,350,13950,12761,real,simswap_256_768768,no-gesture,scripted-long
diff2lip-11561-11573-elevenlabs.mp4,lip-sync,diff2lip,352,352,11561,11573,elevenlabs,,no-gesture,unscripted
diff2lip-11577-11549-playht.mp4,lip-sync,diff2lip,352,352,11577,11549,playht,,no-gesture,scripted-short
latentsync-11560-11573-speechify.mp4,lip-sync,latentsync,352,352,11560,11573,speechify,,no-gesture,unscripted
latentsync-11562-11554-playht.mp4,lip-sync,latentsync,352,352,11562,11554,playht,,no-gesture,scripted-short
memo-11553-11575-speechify.mp4,avatar,memo,352,352,11553,11575,speechify,,no-gesture,scripted-short
hellomeme-11561-11573-real.mp4,avatar,hellomeme,352,352,11561,11573,real,,no-gesture,unscripted
facefusion-10931-11572.mp4,face-swap,facefusion,463,352,10931,11572,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-short
facefusion-10935-11561.mp4,face-swap,facefusion,463,352,10935,11561,real,inswapper_128_fp16_768768,no-gesture,unscripted
facefusion-10930-11565.mp4,face-swap,facefusion,463,352,10930,11565,real,simswap_256_768768,no-gesture,scripted-long
diff2lip-8764-8749-elevenlabs.mp4,lip-sync,diff2lip,430,430,8764,8749,elevenlabs,,no-gesture,unscripted
diff2lip-8741-8750-elevenlabs.mp4,lip-sync,diff2lip,430,430,8741,8750,elevenlabs,,no-gesture,scripted-short
latentsync-8754-8771-speechify.mp4,lip-sync,latentsync,430,430,8754,8771,speechify,,no-gesture,scripted-short
latentsync-8744-8764-elevenlabs.mp4,lip-sync,latentsync,430,430,8744,8764,elevenlabs,,no-gesture,unscripted
memo-8741-8758-speechify.mp4,avatar,memo,430,430,8741,8758,speechify,,no-gesture,scripted-short
memo-8754-8756-playht.mp4,avatar,memo,430,430,8754,8756,playht,,no-gesture,scripted-short
memo-8755-8753-real.mp4,avatar,memo,430,430,8755,8753,real,,no-gesture,scripted-long
hellomeme-8746-8741-real.mp4,avatar,hellomeme,430,430,8746,8741,real,,no-gesture,scripted-short
hellomeme-8744-8742-elevenlabs.mp4,avatar,hellomeme,430,430,8744,8742,real,,no-gesture,unscripted
facefusion-13415-8770.mp4,face-swap,facefusion,476,430,13415,8770,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-short
facefusion-13422-8746.mp4,face-swap,facefusion,476,430,13422,8746,real,inswapper_128_fp16_768768,no-gesture,scripted-short
facefusion-13425-8764.mp4,face-swap,facefusion,476,430,13425,8764,real,simswap_256_768768,no-gesture,unscripted
facefusion-13434-8753.mp4,face-swap,facefusion,476,430,13434,8753,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-long
diff2lip-9004-8990-elevenlabs.mp4,lip-sync,diff2lip,314,314,9004,8990,elevenlabs,,no-gesture,scripted-short
diff2lip-8996-8985-playht.mp4,lip-sync,diff2lip,314,314,8996,8985,playht,,no-gesture,unscripted
latentsync-9007-8994-real.mp4,lip-sync,latentsync,314,314,9007,8994,real,,no-gesture,scripted-short
latentsync-8981-8998-speechify.mp4,lip-sync,latentsync,314,314,8981,8998,speechify,,no-gesture,scripted-short
latentsync-9003-9008-real.mp4,lip-sync,latentsync,314,314,9003,9008,real,,laugh,no-speech
memo-8987-8985-playht.mp4,avatar,memo,314,314,8987,8985,playht,,no-gesture,unscripted
memo-9005-8988-real.mp4,avatar,memo,314,314,9005,8988,real,,no-gesture,scripted-long
memo-8993-8998-elevenlabs.mp4,avatar,memo,314,314,8993,8998,elevenlabs,,no-gesture,scripted-short
hellomeme-8979-8989-real.mp4,avatar,hellomeme,314,314,8979,8989,real,,no-gesture,scripted-short
hellomeme-8978-8986-speechify.mp4,avatar,hellomeme,314,314,8978,8986,real,,no-gesture,scripted-short
facefusion-15996-8988.mp4,face-swap,facefusion,406,314,15996,8988,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-long
diff2lip-15683-15676-real.mp4,lip-sync,diff2lip,280,280,15683,15676,real,,no-gesture,scripted-long
diff2lip-15664-15680-elevenlabs.mp4,lip-sync,diff2lip,280,280,15664,15680,elevenlabs,,no-gesture,scripted-short
diff2lip-15692-15678-playht.mp4,lip-sync,diff2lip,280,280,15692,15678,playht,,no-gesture,scripted-short
diff2lip-15689-15663-elevenlabs.mp4,lip-sync,diff2lip,280,280,15689,15663,elevenlabs,,no-gesture,unscripted
latentsync-15693-15680-real.mp4,lip-sync,latentsync,280,280,15693,15680,real,,no-gesture,scripted-short
latentsync-15670-15684-elevenlabs.mp4,lip-sync,latentsync,280,280,15670,15684,elevenlabs,,no-gesture,scripted-short
memo-15671-15689-playht.mp4,avatar,memo,280,280,15671,15689,playht,,no-gesture,unscripted
memo-15693-15686-real.mp4,avatar,memo,280,280,15693,15686,real,,no-gesture,scripted-short
memo-15690-15679-speechify.mp4,avatar,memo,280,280,15690,15679,speechify,,no-gesture,scripted-short
hellomeme-15692-15684-real.mp4,avatar,hellomeme,280,280,15692,15684,real,,no-gesture,scripted-short
hellomeme-15683-15676-real.mp4,avatar,hellomeme,280,280,15683,15676,real,,no-gesture,scripted-long
facefusion-15754-15676.mp4,face-swap,facefusion,262,280,15754,15676,real,simswap_256_768768,no-gesture,scripted-long
facefusion-15767-15677.mp4,face-swap,facefusion,262,280,15767,15677,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
facefusion-15771-15663.mp4,face-swap,facefusion,262,280,15771,15663,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
diff2lip-15199-15202-real.mp4,lip-sync,diff2lip,472,472,15199,15202,real,,no-gesture,scripted-long
diff2lip-15212-15198-elevenlabs.mp4,lip-sync,diff2lip,472,472,15212,15198,elevenlabs,,no-gesture,scripted-short
diff2lip-15196-15218-elevenlabs.mp4,lip-sync,diff2lip,472,472,15196,15218,elevenlabs,,no-gesture,scripted-short
latentsync-15191-15206-elevenlabs.mp4,lip-sync,latentsync,472,472,15191,15206,elevenlabs,,no-gesture,scripted-short
latentsync-15216-15207-speechify.mp4,lip-sync,latentsync,472,472,15216,15207,speechify,,no-gesture,unscripted
memo-15207-15209-speechify.mp4,avatar,memo,472,472,15207,15209,speechify,,no-gesture,unscripted
memo-15212-15198-real.mp4,avatar,memo,472,472,15212,15198,real,,no-gesture,scripted-short
hellomeme-15197-15213-real.mp4,avatar,hellomeme,472,472,15197,15213,real,,no-gesture,scripted-short
hellomeme-15191-15215-speechify.mp4,avatar,hellomeme,472,472,15191,15215,real,,no-gesture,scripted-short
hellomeme-15199-15202-real.mp4,avatar,hellomeme,472,472,15199,15202,real,,no-gesture,scripted-long
facefusion-7110-15199.mp4,face-swap,facefusion,337,472,7110,15199,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-long
facefusion-7126-15187.mp4,face-swap,facefusion,337,472,7126,15187,real,inswapper_128_fp16_768768,no-gesture,unscripted
facefusion-7113-15210.mp4,face-swap,facefusion,337,472,7113,15210,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
diff2lip-14930-14945-speechify.mp4,lip-sync,diff2lip,326,326,14930,14945,speechify,,no-gesture,scripted-short
diff2lip-14916-14932-elevenlabs.mp4,lip-sync,diff2lip,326,326,14916,14932,elevenlabs,,no-gesture,unscripted
diff2lip-14924-14919-real.mp4,lip-sync,diff2lip,326,326,14924,14919,real,,laugh,no-speech
latentsync-14916-14944-real.mp4,lip-sync,latentsync,326,326,14916,14944,real,,no-gesture,unscripted
latentsync-14934-14914-playht.mp4,lip-sync,latentsync,326,326,14934,14914,playht,,no-gesture,scripted-short
memo-14933-14940-real.mp4,avatar,memo,326,326,14933,14940,real,,no-gesture,scripted-short
memo-14926-14932-elevenlabs.mp4,avatar,memo,326,326,14926,14932,elevenlabs,,no-gesture,unscripted
hellomeme-14925-14941-elevenlabs.mp4,avatar,hellomeme,326,326,14925,14941,real,,no-gesture,scripted-short
hellomeme-14926-14944-speechify.mp4,avatar,hellomeme,326,326,14926,14944,real,,no-gesture,unscripted
hellomeme-14929-14914-real.mp4,avatar,hellomeme,326,326,14929,14914,real,,no-gesture,scripted-short
facefusion-12556-14933.mp4,face-swap,facefusion,396,326,12556,14933,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-short
facefusion-12554-14943.mp4,face-swap,facefusion,396,326,12554,14943,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
facefusion-12549-14932.mp4,face-swap,facefusion,396,326,12549,14932,real,inswapper_128_fp16_codeformer_512512,no-gesture,unscripted
diff2lip-7935-7931-real.mp4,lip-sync,diff2lip,289,289,7935,7931,real,,no-gesture,unscripted
diff2lip-7956-7959-real.mp4,lip-sync,diff2lip,289,289,7956,7959,real,,no-gesture,scripted-long
diff2lip-7933-7952-elevenlabs.mp4,lip-sync,diff2lip,289,289,7933,7952,elevenlabs,,no-gesture,scripted-short
diff2lip-7953-7947-speechify.mp4,lip-sync,diff2lip,289,289,7953,7947,speechify,,no-gesture,scripted-short
latentsync-7934-7933-playht.mp4,lip-sync,latentsync,289,289,7934,7933,playht,,no-gesture,scripted-short
latentsync-7948-7944-playht.mp4,lip-sync,latentsync,289,289,7948,7944,playht,,no-gesture,scripted-short
memo-7960-7931-speechify.mp4,avatar,memo,289,289,7960,7931,speechify,,no-gesture,unscripted
memo-7947-7930-speechify.mp4,avatar,memo,289,289,7947,7930,speechify,,no-gesture,scripted-short
memo-7934-7955-elevenlabs.mp4,avatar,memo,289,289,7934,7955,elevenlabs,,no-gesture,scripted-short
hellomeme-7941-7954-speechify.mp4,avatar,hellomeme,289,289,7941,7954,real,,no-gesture,scripted-short
hellomeme-7953-7948-elevenlabs.mp4,avatar,hellomeme,289,289,7953,7948,real,,no-gesture,scripted-short
hellomeme-7935-7960-speechify.mp4,avatar,hellomeme,289,289,7935,7960,real,,no-gesture,unscripted
facefusion-7602-7948.mp4,face-swap,facefusion,487,289,7602,7948,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
facefusion-7610-7933.mp4,face-swap,facefusion,487,289,7610,7933,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
facefusion-7625-7959.mp4,face-swap,facefusion,487,289,7625,7959,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-long
diff2lip-8932-8928-speechify.mp4,lip-sync,diff2lip,384,384,8932,8928,speechify,,no-gesture,unscripted
diff2lip-8922-8909-real.mp4,lip-sync,diff2lip,384,384,8922,8909,real,,no-gesture,scripted-short
diff2lip-8916-8939-elevenlabs.mp4,lip-sync,diff2lip,384,384,8916,8939,elevenlabs,,no-gesture,scripted-short
latentsync-8910-8915-elevenlabs.mp4,lip-sync,latentsync,384,384,8910,8915,elevenlabs,,no-gesture,scripted-short
latentsync-8929-8928-playht.mp4,lip-sync,latentsync,384,384,8929,8928,playht,,no-gesture,unscripted
latentsync-8924-8911-real.mp4,lip-sync,latentsync,384,384,8924,8911,real,,no-gesture,scripted-long
latentsync-8912-8909-speechify.mp4,lip-sync,latentsync,384,384,8912,8909,speechify,,no-gesture,scripted-short
memo-8939-8915-real.mp4,avatar,memo,384,384,8939,8915,real,,no-gesture,scripted-short
memo-8922-8909-playht.mp4,avatar,memo,384,384,8922,8909,playht,,no-gesture,scripted-short
hellomeme-8916-8934-elevenlabs.mp4,avatar,hellomeme,384,384,8916,8934,real,,no-gesture,scripted-short
hellomeme-8936-8931-elevenlabs.mp4,avatar,hellomeme,384,384,8936,8931,real,,no-gesture,scripted-short
facefusion-14129-8910.mp4,face-swap,facefusion,286,384,14129,8910,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-short
facefusion-14106-8909.mp4,face-swap,facefusion,286,384,14106,8909,real,inswapper_128_fp16_codeformer_512512,no-gesture,scripted-short
facefusion-14100-8926.mp4,face-swap,facefusion,286,384,14100,8926,real,simswap_256_768768,no-gesture,unscripted
facefusion-14110-8924.mp4,face-swap,facefusion,286,384,14110,8924,real,simswap_256_restoreformer_plus_plus_768768,no-gesture,scripted-long
diff2lip-9139-9124-speechify.mp4,lip-sync,diff2lip,319,319,9139,9124,speechify,,no-gesture,scripted-short
diff2lip-9143-9125-playht.mp4,lip-sync,diff2lip,319,319,9143,9125,playht,,no-gesture,scripted-short
latentsync-9142-9122-elevenlabs.mp4,lip-sync,latentsync,319,319,9142,9122,elevenlabs,,no-gesture,unscripted
latentsync-9129-9125-speechify.mp4,lip-sync,latentsync,319,319,9129,9125,speechify,,no-gesture,scripted-short
memo-9123-9122-real.mp4,avatar,memo,319,319,9123,9122,real,,no-gesture,unscripted
memo-9136-9125-playht.mp4,avatar,memo,319,319,9136,9125,playht,,no-gesture,scripted-short
memo-9138-9139-real.mp4,avatar,memo,319,319,9138,9139,real,,no-gesture,scripted-short
